"storyTitle","issueNum","publicationDate","principleCharacters","creators","description","value","publisher","series","volumeNum","grade","slabbed","signatures","authenticated"
"Who Needs Superman Anyway?","35B","Oct 01, 2014","","Gregory Pak | Scott Kolins | Vicente Cifuentes","Monsters of the Month Variant Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Horrorville","36A","Nov 05, 2014","","Gregory Pak | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Small Villians","37A","Dec 03, 2014","","Gregory Pak | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Home Is Where The Hell Is","38A","Jan 07, 2015","","Gregory Pak | Jae Lee | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Under The Skin","39A","Feb 04, 2015","","Gregory Pak | Scott Kolins | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Mirror Cracked","40A","Mar 11, 2015","","Gregory Pak | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Hard Truth, Part 1","41A","Jun 03, 2015","","Gregory Pak | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Hard Truth, Part 2","42A","Jul 01, 2015","","Gregory Pak | Aaron Kuder","Regular Cover - Aaron Kuder","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Hard Truth","43A","Aug 12, 2015","","Gregory Pak | Aaron Kuder","Aaron Kuder Regular Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Hard Truth","44A","Sep 02, 2015","","Gregory Pak | Aaron Kuder | Howard Porter","Aaron Kuder Regular Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Blind Justice, Part One","45A","Oct 07, 2015","","Gregory Pak | Aaron Kuder | Scott Kolins","Aaron Kuder Regular Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Blind Justice, Part Two: Into the Shadows","46A","Nov 18, 2015","","Gregory Pak | Aaron Kuder | Scott Kolins","Aaron Kuder Regular Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Blind Justice, Part Three: Consumed","47","Dec 02, 2015","","Gregory Pak | Aaron Kuder | Georges Jeanty","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Savage Dawn, Assault","48A","Jan 06, 2016","","Gregory Pak | Aaron Kuder | Rafa Sandoval","Aaron Kuder Regular Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Savage Dawn, Immortal Combat","49A","Feb 03, 2016","","Gregory Pak | Ardian Syaf | Scott Hanna","Aaron Kuder Regular Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Savage Dawn, Resurrection","50A","Mar 09, 2016","","Aaron Kuder | Greg Pak | Vicente Cifuentes","Regular Aaron Kuder Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"The Final Days of Superman, Part 3: Dazed and Confused","51A","Apr 20, 2016","","Peter J. Tomasi | Paul Pelletier | Sandra Hope Archer","Karl Kerschl Regular Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Final Days of Superman, Final Days of Superman, Part 6","52A","May 11, 2016","","Peter J. Tomasi | Dale Eaglesham | Scot Eaton","Regular John Romita Jr Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Superman Doomed - Superdoom","3","Jul 30, 2014","","Gregory Pak | Pascal Alixe | Will Conrad","","0.0","DC Comics","Action Comics, Vol. 2 Annual","0","","","",""
"Path to Doom, Chapter 1","957B","Jun 08, 2016","","Dan Jurgens | Patrick Zircher","","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Path of Doom, Part Four","960A","Jul 27, 2016","","Dan Jurgens | Tyler Kirkham","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Path to Doom, Chapter 5","961A","Aug 10, 2016","","Dan Jurgens | Stephen Segovia | Art Thibert","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Path of Doom, Conclusion","962A","Aug 24, 2016","","Dan Jurgens | Stephen Segovia | Art Thibert","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Superman, Meet Clark Kent, Part 1","963A","Sep 14, 2016","","Dan Jurgens | Patrick Zircher","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Superman, Meet Clark Kent, Part 2","964A","Sep 28, 2016","","Dan Jurgens | Patrick Zircher","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Lois Lane, Back at the Planet, Part 1","965A","Oct 12, 2016","","Dan Jurgens | Stephen Segovia | Art Thibert","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Lois Lane, Back at the Planet, Part 2","966A","Oct 26, 2016","","Dan Jurgens | Stephen Segovia | Art Thibert","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Men of Steel, Part 1","967A","Nov 09, 2016","","Dan Jurgens | Tyler Kirkham","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Men of Steel, Part 2","968A","Nov 23, 2016","","Dan Jurgens | Tyler Kirkham","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Men of Steel, Part 3","969A","Dec 14, 2016","","Dan Jurgens | Patrick Zircher","Regular Tyler Kirkham Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Men of Steel, Part 4","970B","Dec 28, 2016","","Dan Jurgens | Patrick Zircher","Variant Gary Frank Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Men of Steel, Part Five","971A","Jan 11, 2017","","Dan Jurgens | Stephen Segovia | Art Thibert","Stephen Segovia Regular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Men of Steel, Conclusion","972A","Jan 25, 2017","","Dan Jurgens | Stephen Segovia | Art Thibert","Regular Art Thibert Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Mild Mannered, Part One","973A","Feb 08, 2017","","Dan Jurgens | Patrick Zircher | Stephen Segovia","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Mild Mannered, Part Two","974A","Feb 22, 2017","","Dan Jurgens | Patrick Zircher | Stephen Segovia","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Superman Reborn, Part 2 / The Man in the Purple Hat","975A","Mar 08, 2017","","Paul Dini | Dan Jurgens | Ian Churchill","Regular Patrick Gleason & Mick Gray Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Superman Reborn, Part 4","976A","Mar 22, 2017","","Dan Jurgens | Doug Mahnke | Christian Alamy","Regular Patrick Gleason & John Kalisz Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"The New World, Part 1","977A","Apr 12, 2017","","Dan Jurgens | Ian Churchill","Regular Andy Kubert Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"The New World, Part 2","978A","Apr 26, 2017","","Dan Jurgens | Carlo Barberi | Matt Santorelli","Regular Andy Kubert Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Revenge, Part 1","979A","May 10, 2017","","Dan Jurgens | Patrick Zircher","Regular Clay Mann & Tomeu Morey Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Revenge, Part II","980A","May 24, 2017","","Dan Jurgens | Patch Zircher","Regular Clay Mann Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Revenge, Revenge Part III","981A","Jun 14, 2017","","Dan Jurgens | Jack Herbert","Regular Patrick Zircher Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Revenge, Part IV","982A","Jun 28, 2017","","Dan Jurgens | Jack Herbert | José Luis","Regular Patrick Zircher Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Revenge, Part IV","982A","Jun 28, 2017","","Dan Jurgens | Jack Herbert | José Luis","Regular Patrick Zircher Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Revenge, Part V","983A","Jul 12, 2017","","Dan Jurgens | Viktor Bogdanović | Jonathan Glapion","Clay Mann Regular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Revenge, Part V","983A","Jul 12, 2017","","Dan Jurgens | Viktor Bogdanović | Jonathan Glapion","Clay Mann Regular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Revenge, Conclusion","984A","Jul 26, 2017","","Dan Jurgens | Patrick Zircher","Clay Mann Regular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Revenge, Conclusion","984A","Jul 26, 2017","","Dan Jurgens | Patrick Zircher","Clay Mann Regular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Only Human, Part 1","985A","Aug 09, 2017","","Rob Williams | Guillem March","Regular Guillem March Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Only Human, Part 2","986A","Aug 23, 2017","","Rob Williams | Guillem March","Regular Guillem March Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"The Oz Effect, Part One","987A","Sep 13, 2017","","Dan Jurgens | Viktor Bogdanović | Jonathan Glapion","Regular Nick Bradshaw Lenticular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"The Oz Effect, Part Two","988A","Sep 27, 2017","","Dan Jurgens | Ryan Sook","Regular Robson Rocha Lenticular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"The Oz Effect, The Oz Effect Part Three","989A","Oct 11, 2017","","Dan Jurgens | Viktor Bogdanović | Trevor Scott","Regular Nick Bradshaw Lenticular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"The Oz Effect, The Oz Effect Part 4","990A","Oct 25, 2017","","Dan Jurgens | Viktor Bogdanović | Scott Hanna","Regular Nick Bradshaw Lenticular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"The Oz Effect, Conclusion","991A","Nov 08, 2017","","Dan Jurgens | Viktor Bogdanović | Scott Hanna","Regular Nick Bradshaw Lenticular Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"The Oz Effect, After Effects","992A","Nov 22, 2017","","Will Conrad","Regular Francis Manapul Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Booster Shot, Part One","993A","Dec 13, 2017","","Dan Jurgens | Joe Prado | Cam Smith","Regular Dan Jurgens & Trevor Scott Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Booster Shot, Part II","994A","Dec 27, 2017","","Dan Jurgens | Joe Prado | Trevor Scott","Regular Dan Jurgens & Trevor Scott Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Booster Shot","995A","Jan 10, 2018","","Dan Jurgens | Brett Booth | Norm Rapmund","Regular Dan Jurgens & Trevor Scott Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Booster Shot, Part IV","996A","Jan 24, 2018","","Dan Jurgens | Will Conrad","Regular Dan Jurgens & Trevor Scott Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Booster Shot","997A","Feb 14, 2018","","Dan Jurgens | Brett Booth | Norm Rapmund","Regular Brett Booth & Norm Rapmund Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Booster Shot, Booster Shot Conclusion","998A","Feb 28, 2018","","Dan Jurgens | Will Conrad","Regular Will Conrad Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"What Would Superman Do?","999A","Mar 14, 2018","","Dan Jurgens | Will Conrad","Regular Brett Booth & Norm Rapmund Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"From The City That Has Everything / Never-Ending Battle / The Enemy Within / The Car / The Fifth Season / Of Tomorrow / Five MIntues / Actionland! / Faster Than A Speeding Bullet / The Truth","1000A","Apr 18, 2018","","Paul Dini | Marv Wolfman | Dan Jurgens","Regular Jim Lee & Scott Williams Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Invisible Mafia","1001A","Jul 25, 2018","","Brian Michael Bendis | Patrick Gleason","Regular Patrick Gleason Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Invisible Mafia, Part 2","1002A","Aug 22, 2018","","Brian Michael Bendis | Patrick Gleason","Regular Patrick Gleason Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Invisible Mafia, Part 3","1003A","Sep 26, 2018","","Brian Michael Bendis | Yanick Paquette","Regular Patrick Gleason Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Invisible Mafia, Part 4","1004A","Oct 24, 2018","","Brian Michael Bendis | Ryan Sook | Wade von Grawbadger","Regular Steve Rude Enhanced Foil Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Invisible Mafia, Part 5","1005A","Nov 28, 2018","","Brian Michael Bendis | Ryan Sook","Regular Ryan Sook Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Invisible Mafia, Part 6","1006A","Jan 02, 2019","","Brian Michael Bendis | Ryan Sook","Regular Ryan Sook Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Leviathan Rising, Part 1","1007A","Jan 30, 2019","","Brian Michael Bendis | Steve Epting","Regular Steve Epting Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Leviathan Rising, Part 2","1008A","Feb 27, 2019","","Brian Michael Bendis | Steve Epting","Regular Steve Epting Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Leviathan Rising, Leviathan Rising Part 3","1009A","Mar 27, 2019","","Brian Michael Bendis | Steve Epting","Regular Steve Epting Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Leviathan Rises, Part 4","1010A","Apr 24, 2019","","Brian Michael Bendis | Steve Epting","Regular Steve Epting Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Leviathan Rises, Leviathan Rises Part 5","1011A","May 22, 2019","","Brian Michael Bendis | Steve Epting","Regular Steve Epting Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"By Any Other Name...","1012A","Jun 26, 2019","","Brian Michael Bendis | Szymon Kudranski","Regular Jamal Campbell Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
"Year of the Villain - Gifts","1013A","Jul 24, 2019","","Brian Michael Bendis | Szymon Kudranski","Regular Jamal Campbell Cover","0.0","DC Comics","Action Comics, Vol. 3","0","","","",""
